Label;Text
positive;definitely worth see be sort of think provoke film force question threshold of loneliness
negative;del taco be pretty nasty be avoid possible
negative;delete film mind
positive;delicious absolutely be back
positive;delicious
positive;delicious good selection of cream cheese
negative;design flaw
negative;devastate
negative;do not like
negative;do not work computer
negative;do not laugh even smile
negative;disappoint result
negative;disappoint battery
negative;disappoint
negative;disappoint
negative;disappoint accessory good manufacturer
negative;disappoint experience
negative;disappoint
negative;disappointment hate anything go ear
positive;display be excellent camera be good year
negative;do not buy do not buy suck
negative;do not buy .807 wrongly advertise .807
negative;do not buy want use holster
negative;do not make same mistake
negative;do not purchase phone
negative;do not waste money
negative;do not waste time
neutre;do money urgently
neutre;do think get one
negative;do favor stay away dish
positive;do everything
negative;do not charge singular att 8525 phone
negative;do not fit
negative;do not work listen music singular 8125
negative;do not work
negative;do not do job
negative;do not hold charge
negative;do not last long
negative;do not work buy l7 see not work
negative;do not work
positive;do perfection
negative;do not bother come
negative;do not bother go store
negative;dont buy
negative;do not buy
negative;do not buy product fail
negative;do not buy product
negative;dont go
negative;do not make same mistake do
negative;do not make same mistake do please do not buy phone
positive;do not miss
negative;do not spend money get product
negative;do not trust webster do not expect helpful support
negative;do not waste money
negative;do not waste money time
negative;do not waste money
negative;do not waste money
negative;do not waste money
negative;do not waste time
negative;do not waste time watch rubbish non research film
negative;do not waste time
positive;track command sentiment actually contribute scene character
negative;earn piece break easily
positive;easily none cartoon make laugh tender way
positive;easy pair samsung cell
positive;easy use
negative;echo problem unsatisfactory
positive;eclectic selection
negative;new location complete overhaul
negative;either way suck
negative;end of day be one of worst big budget action movie have ever see
negative;endless error automatic update feature
positive;enough can not be say of remarkable animation film
negative;essentially can forget microsoft tech support
negative;even allow poor production value time be baaaaaad
negative;even billy bob not rise script be worse
negative;even love bad movie do not watch movie
negative;even bmw three series be fairly quiet have trouble hear person be say
negative;even squib look awful
negative;even woman finally show be no sign of improvement expect thing happen time film be be far asleep
negative;even worse ticker
negative;every element of story be top excessively phony contrive be painful sit
positive;every single character be hilarious deserve be call lead
positive;every thing phone work perfectly like
negative;every time open mouth expect hear see kid pull plug be mercy kill horrible show
positive;every time eat see care teamwork professional degree
positive;everyone be treat equally special
positive;everyone be attentive provide excellent customer service
positive;everyone be friendly
neutre;everyone business study
positive;everything be fine reasonable price
negative;everything be bad
positive;everything film be simply incredible
negative;everything movie be stupid
negative;everything product be wrong first
negative;everything captain rowdy say be either laughable plain stupid
positive;everything act cinematography be solid
negative;everything be appal
negative;everything stink
positive;everything be fresh delicious
positive;everything be good tasty
negative;everything be gross
positive;everything be perfect night be
positive;everything work first try device be certainly engineer clever way construction feel good
positive;exactly want
positive;excellent bluetooth headset
positive;excellent cast story line performance
positive;excellent dual purpose headset
positive;excellent hand free tool
positive;excellent performance
positive;excellent phone
positive;excellent product price
positive;excellent product satisfy purchase
positive;excellent product
positive;excellent service
positive;excellent short film
positive;excellent sound quality
positive;excellent sound battery life inconspicuous boot
positive;excellent wallet type phone case
positive;excellent
positive;excellently produce
negative;exceptionally bad
positive;extremely tasty
positive;fan of genre be heaven
positive;fantastic buy get whatever next phone be
positive;fantastic earphone
positive;fantastic food
positive;fantastic service
positive;fast service
negative;final word show be real torture
negative;finally three four time spring of latch break not use longer visor
negative;first of do not wear well
negative;first of be enough racial stereotype racial joke offend everyone
negative;first reception suck have never have two bar ever
positive;fit comfortably come three size of earn tip
negative;food be way overprice portion be fuck small
positive;food be not bad
negative;food quality have be horrible
negative;food be average
positive;food be delicious
positive;food be good service be good price be good
positive;food be great be service
negative;food be really bore
positive;food be really good
positive;food be good
positive;people be first timer film make think do excellent job
negative;service give no star
positive;be worth check
positive;price amazon be excellent product highly recommend
positive;price be great deal
negative;have not see do not waste time
negative;friend pasta also bad barely touch
negative;widmark character turn unintentionally comical
negative;full of unconvincing cardboard character be blandly write edward chodorow also produce be surprisingly direct jean negulesco one expect great deal
positive;funny clever hip hype
negative;generally lack imagination
positive;generous portion great taste
positive;give one look
negative;glad do not pay see
positive;go see
positive;go watch
positive;good work fine
positive;good audio quality
positive;good beer drink selection good food selection
positive;good camera nice picture also have cool style like black white
positive;good case
positive;good case excellent value
positive;good food good service
positive;good item low price
positive;good one
positive;good price
positive;good product incredible value
positive;good product good seller
positive;good protection do not make phone bulky
positive;good quality
positive;good service clean inexpensive boot
positive;good service check
positive;good show samsung
positive;good transmit audio
positive;good value work fine power via usb car wall outlet
neutre;goodbye
negative;graphic be far best part of game
positive;great audio
positive;great bluetooth
positive;great brunch spot
positive;great case price
positive;great charger
positive;great choice
positive;great earpiece
positive;great food awesome service
positive;great food service huge portion
positive;great food price be high quality house make
positive;great food
positive;great pod
positive;great jawbone
positive;great use home stereo
positive;great hand free device
positive;great headset impress 500
positive;great be new package nice work good no problem come le time expect
positive;great movie
positive;great phone
positive;great phone
positive;great place
positive;great place freak take eat
positive;great place eat remind of little mom pop shop
positive;great place have couple drink watch sport event wall be cover tv
positive;great price also
positive;great price
positive;great product price
positive;great product price
positive;great product fast ship
positive;great product
positive;great service food
positive;great software motorola
positive;great sound service
positive;great steak great side great wine amaze dessert
positive;great value
positive;great no problem
negative;hackneyed write certainly make even worse bad direct
positive;happy far
negative;hard judge whether side be good be gross melt styrofoam do not want eat fear of get sick
positive;have be work great
negative;hat
neutre;have be busy
positive;have humour get get day be apt
negative;have trouble volume
negative;can bore piece kill momentum of movie quicker anyone else
negative;can not act one of least scary villain have ever see can not write do write damn movie sleep
positive;deliver one of popular funny underrate cartoon ever create
positive;deserve five star
positive;have wholesome appearance give fine performance
positive;have triumph
negative;be almost unbearable watch screen have little no charisma terrible comedic time
positive;be amaze film artist one of important whoever live
negative;be embarrassment company family
positive;be legendary
positive;be one of favourite director one of talented director history of cinema
positive;be still top form make another worthwhile experience
negative;really do not seem want be host voice be monotonous do not get involve guest
negative;surely do not know make coherent action movie screenwriter of air force one be oblige write script big sum of money
negative;be extremely rude really
negative;be terrible
positive;be impress go original battery extend battery
positive;headset work great be package nicely avoid damage
negative;hell no go back
neutre;hello
negative;hence whole story lack certain energy
negative;line seem have be write fifteen year old though be try oh hard sound like fifteen year old really um know well talk
positive;role be play well
positive;be national treasure
neutre;be do homework
positive;highly entertain angle
positive;highly recommend one have blue tooth phone
positive;highly recommend
negative;highly unprofessional rude loyal patron
negative;highly recommend
positive;act be brilliant end be fantastic
negative;lose marble early proceed be totally implausible unconvincing
positive;screen presence shine think even though be senior actor screen
positive;performance be simply genius
positive;performance award be stun
positive;use of colour of french flag three film be nothing short of incredible every shoot every scene be like work of art
negative;honestly do not taste fresh
negative;horrible do not waste time money
negative;horrible phone
negative;horrible quality premium price
negative;horrible
negative;horrible have switch three time
negative;horrible horrible protector
negative;host staff be lack of better word bitch
negative;hot dish be not hot cold dish be close room temp watch staff prepare food bare hand no glove everything be deep fry oil
positive;awesome be
negative;awful be
positive;can anyone right mind ask anything movie
negative;can be audio quality be poor
negative;can call stenhouse can not properly cook steak do not understand
negative;stupid be
negative;piece of trash be ever release be beyond act story character supposedly special effect etc wrong
negative;however year flip top start get loose wobbly eventually screen go black not receive place call
positive;however finally watch film realize not have have close mind brilliance depict also find watch
negative;however bt headset be currently not good real time game like first person shooter since audio delay mess
negative;however be no decent act action location work balance thing
negative;however recently watch whole thing do be completely strike extremely stupid storyline be contain hole inconsistency frankly whole lot of crap horrid dance be
negative;however girl be complain some time phone do not wake like normal phone do
negative;however recent experience particular location be not good
negative;however ear pad come easily one week lose one
negative;however keypad be tinny sometimes reach wrong button
negative;however be much garlic fondue be barely edible
negative;however do not make fact overall be tremendously bore movie
negative;however intone be not best neither be game
positive;heart place
negative;advise everyone do not be fool
positive;advise look
negative;agree jessica movie be pretty bad
negative;also decide not send back waitress look like be verge of have heart attack
negative;also do not like button felt like crack use
positive;also happy price
negative;far sushi connoisseur can definitely tell difference good food bad food be certainly bad food
positive;glad purchase
negative;go have be first negatively review product
positive;happy product
negative;not filmmaker nor director hide head sand spend whatever amount of money time movie
negative;not impress not recommend item anyone
neutre;not familiar phoenix good sushi restaurant go phone help
positive;pair phone not be happier far
positive;please know modern day genius be let be passion art drive take u audience
positive;thrill see movie like
negative;sorry make purchase
positive;happy
positive;impress job motorola do steadiness of phone
positive;impress headset plantronics
positive;please purchase
negative;ask money back
negative;ask multiple time wine list some time of be ignore go host get one
positive;believe every one see movie
positive;believe screenwriter do good job of tie loose end
negative;buy mother have problem battery
negative;buy hop make bluetooth headset fit better thing make impossible wear
positive;buy battery coupon amazon happy purchase
negative;buy phone replacement start have regret since
positive;buy use kindle fire absolutely love
negative;buy two of neither charge
negative;come back today since relocate still not impress
negative;come of feel angry
positive;can assure not be disappoint
negative;can barely ever hear constantly say
positive;can think of no film something vitally important occur every minute
negative;cannon believe actor agree do film
negative;cannon make call certain place
negative;can not believe be even sequel
negative;can not give favorable rat time
negative;can not see movie can be inspiration anyone come overcome fear rejection
negative;can not tell disappoint be
negative;can not use case smell be disgust
positive;can not wait go back
negative;certainly do not mean distinction good way
negative;check everywhere be no feature be really disappoint
negative;check place couple year ago be not impress
positive;connect wife bluetooth motorola s80 phone work like charm whether phone be pocket case
negative;consider bad start
negative;consider theft
negative;contact company tell although unit be still warranty not produce receipt be of luck
negative;barely stomach meal
positive;care le interior be beautiful
negative;not recommend
negative;not stand even watch long fear of lose q
negative;not understand kind of idiot produce mess first place not mention several season
neutre;not finish
negative;not take seriously
positive;not think of better way end film smile face great way wrap amaze film trilogy
negative;do not bother contact company few dollar product learn lesson not have buy form online anyway
positive;do not have problem item order
negative;do not enjoy
positive;do not realize wonderful short really be last two scene
negative;do not want clip go top of ear cause discomfort
positive;do think tom hank be good actor
negative;do not maintain connection computer be lap
positive;do not know exactly be movie latch endear movie have become special part of family memory
negative;do not know happen season five mess
negative;do not know big deal be place not be back
negative;do not like nokia either
neutre;do not mind have wait bite coffee understand quality take time
negative;do not recommend unless car break front of be starve
negative;dont think be back long time
negative;do not think hold securely belt
negative;do not think have ever go movie dislike much
negative;do not think have ever see movie half bore self indulgent piece of junk
negative;do not think be redeem quality remake
negative;do not think be go back anytime soon
positive;do not think be disappoint
negative;do not understand garbage get shelve of movie store be not even real movie
negative;dress be treat rudely
positive;enjoy
positive;enjoy read book child be little
positive;especially like non cliche choice parent movie predict dialog verbatim write movie make better selection
positive;especially love long battery life
positive;even drop phone stream be submerge 15 second still work great
positive;exchange sony ericson z 500 pretty happy decision
negative;fast forward remain film see be anything leave watchable human be brain be
negative;felt though go ireland do absolutely nothing whatsoever
negative;felt asleep first time watch can recommend insomniac
negative;felt insult disrespect talk judge another human be like
negative;find inexcusable probably be return phone perhaps change carrier
negative;find waste food be despicable be not food
negative;find six inch long piece of wire salsa
negative;find kabul be price hip service
positive;find product be easy set use
positive;find move beautiful enjoyable uplift
positive;find place accident not be happier
positive;give five star give five star now
positive;give ten
negative;get absolutely horrible reception apartment phone have not have problem
negative;get many error message
negative;get food poison buffet
positive;get be small adorable
positive;get aluminum case new palm v work really well have protect handheld perfectly far
negative;get phone around end of may completely unhappy
positive;get phone recommendation relative glad do
positive;great reception time
negative;guess have know place suck
negative;guess be suppose be clever twist shed some light situation be stupid
negative;guess nobody network air dribble watch put
positive;have completely delightful experience
positive;have pretty satisfy experience
positive;have seriously solid breakfast
negative;have two bite refuse eat anymore
negative;have difficulty demonstrate complex concept
negative;have high hop place unfortunately taste fell flat way flat
positive;have order motorola data cable get well finish work product
neutre;have some money
positive;have strawberry tea be good
negative;have mac salad be pretty bland not be get
positive;have opportunity today sample amaze pizza
positive;have go store buy new nokia phone be work great
negative;have purchase different case
negative;have walk of theatre few minute get some relief
negative;have waste enough of life
negative;hate movie like
negative;hate thing much cheap quality black olive
negative;hate write bad review film especially really like star film be bad do not believe one second anyone have be proud of
negative;have 2 3 bar cell phone home can not hear anything
positive;have version lg phone work well together good reception range exceed 20 foot line of sight
negative;have always have problem format of some document
positive;have always use cord headset freedom wireless be helpful
positive;have be several time past experience have always be great
negative;have be few place eat no circumstance ever return top list
positive;have be happy 510 have have no complaint one regard sound quality end
positive;have be satisfy cell phone day one
negative;have buy nokia cell phone few week ago be nightmare
positive;have eat multiple time time food be delicious
negative;have have problem wit hit drop signal
negative;have have phone year now tell not great
positive;have have mobile service two three year now pretty happy
negative;have never have bland food surprise consider article read focus much spice flavor
positive;have have few week far good
positive;have purchase family friend enjoy clarity ease of use
negative;have phone be thorn side really abhor
negative;have giggle plug get line right get decent volume
positive;have mention be huge spoiler love end character of three film be remain survivor of ferry disaster valentine young judge together old man watch tv solidify happiness suffer deal many year
positive;have try cable computer pod work fine
negative;have two year leave contract hate phone
positive;have use several phone two year one be best
negative;have watch price inflate portion get smaller
neutre;have not see think be away weekend
negative;highly doubt anyone ever like trash
positive;highly recommend encourage people give try
positive;highly recommend case
positive;highly recommend device everyone
positive;highly recommend modest price cellular phone
positive;can not explain movie romantic charm hilarious adorable
negative;do not know place manage serve blanket food have ever eat
positive;saw film recommend
neutre;think work
negative;want leave
positive;keep watch
negative;keep catch cable seat have pull phone turn
positive;know saw film great thing be come gift actor
negative;know be contract player little control script act be bad script
positive;know sound funny seem like sketchy technology not work well well one work great
negative;know be not like restaurant something be
positive;leave theater lilt step joy heart hope human race
negative;leave stomach ache felt sick rest of day
negative;let girlfriend talk see bad idea hat
positive;like design look of cabra be ear headset 5020 be pretty comfortable wear 24 hour day without pain ear
positive;like fact rest lightly ear rather inside
positive;like
positive;like analog convertor much
positive;like patio service be outstanding
positive;like movie way much
positive;like movie
negative;literally vomit watch film
positive;love feature form factor
positive;love be able use one headset land line cell
positive;love 350 headset cabra 350 bluetooth headset be great reception be good ear piece be comfortable fit
positive;love camera be really pretty good quality
positive;love fact everything menu be worth
positive;love look feel of samsung flip phone
positive;love owner chef one authentic japanese cool dude
positive;love pho spring roll oh yummy have try
positive;love intone be upbeat
positive;love bluetooth
positive;love cable allow connect mini usb device pc
positive;love device
positive;love phone be handy have lot of feature
positive;love phone
positive;love place staff be amaze table be great shape
positive;love place
positive;love thing
positive;love
positive;love
positive;love mussel cook wine reduction duck be tender potato dish be delicious
positive;love movie be great portrayal of family have be share of end know special love have
neutre;mean be young man be
negative;mean really do get famous fish chip be terrible
negative;mean terrible way
negative;mean realistic world never have get ballet repertory whole thing be quite pathetic
negative;have get defect not risk buy of build quality alone
positive;say have tap of episode find watch
negative;never come
negative;never walk of movie faster
negative;hear garbage audio
negative;order product first be unhappy immediately
positive;cabra ear set be happy sound quality especially outgo be better
negative;pay bill do not tip felt server do terrible job
negative;pay much
negative;particularly remember sense be assault strident cord of music blare little warn even le mean
negative;plug find not darn thing work
positive;post detail comment grey black phone have fire red be great color
negative;probably not be back be honest
negative;probably not be come back
negative;probably not go
positive;promise not disappoint
negative;purchase within two day be no longer work
negative;purchase car charger do not work
positive;really do recommend place
negative;really do not see anyone enjoy movie
positive;really enjoy eat
positive;really like product motorola be allot clearer ear piece mic
positive;really like
positive;really like service
positive;really love story
positive;really recommend faceplate since look nice elegant cool
negative;really want plantronics 510 be right one have many issue good
positive;receive quickly work great
positive;receive headset good time be happy
positive;receive order well within ship timeframe everything be good work order overall excite have source
negative;recently have problem not stay connect ten minute be disconnect
positive;recommend everyone love film movie anything work of art
positive;recommend product hand best one
neutre;regularly use number of vary program visit logic audio miss office
neutre;remember look like year ago old gritty
negative;request help do not get result
neutre;say be business
positive;sit rivet tv screen
positive;saw film christmas great film be
negative;saw movie think be stupid movie
positive;saw short film absolutely love
positive;search internet find one be best value
negative;seriously cannon believe owner have many inexperienced employee be run around like chicken head cut
negative;still maintain monkey not make headphone obviously do not share enough dna copy design human
positive;struggle find anything bad say
negative;swing give try be deeply disappoint
negative;think food have flavor texture be lack
positive;think be one of people find another one of roth pearl
neutre;think be yesterday
positive;think be see older john wayne film
positive;think be one of best movie ever
negative;think restaurant suffer not try hard enough
negative;think be average best
negative;think be bad
negative;take back money get of
neutre;take work one day
positive;totally absolutely recommend movie anyone like good wholesome family movie be exactly be
negative;try talk real loud shout telephone get old be still tell be not great
positive;truly enjoy show can proudly say enjoy big time even classical wb cartoon
negative;understand be suppose be cheap popcorn comedy do not mean have completely insult intelligence have write incredibly hackneyed border offensive
positive;use product motor control center be lot of high voltage hum equipment work great
negative;use talk one one 1 2 hour battery be literally drain die
positive;usually do not like headband one be lightweight do not mess hair
negative;vomit bathroom middle lunch
negative;wait wait
negative;want money back
neutre;want improve internet service
neutre;want increase internet speed
neutre;want update package
negative;want return item get credit
negative;be route often due poor map
positive;be able do voice deal car no problem
positive;be amaze timeless film actually be
positive;be amaze quick arrival of two original lg cell phone battery fraction of price
negative;be bore throughout whole damn thing
positive;be deeply impress character play
negative;be disgust be pretty sure be human hair
positive;be impress
negative;be leave shatter experience of watch film take good two hour fully recover
positive;be look headset long time now have get not be happier
negative;be mortify
negative;be not happy
negative;be not happy item
negative;be not impress product
positive;be particularly please act ability
negative;be shock no sign indicate cash
negative;be insult
negative;be somewhat disappoint
positive;be totally fascinate music dance everything
negative;be disappoint movie
negative;be disappoint
positive;be excite get headset think be really cute
positive;be impress price of case
positive;be please see replace well trail swivel holster blackberry flip
negative;be uneasy bad movie be not scar
negative;be wildly disappoint
negative;be not least bite interest
negative;waste little money earpiece
positive;wear glass fit fine
positive;wear everyday hold well
positive;be back many time soon
positive;continue come highly recommend place anyone be area
positive;continue go though type of experience price be reasonable
positive;go back
positive;never forget now
negative;never go back place never ever recommend place anyone
negative;not be eat
negative;not return
negative;wish enter negative value admit
negative;wish return unit get back money
negative;not be back
positive;not say do not like spoiler do not want be one believe film be worth time
negative;not try go back even be empty
negative;advise not purchase item never work well
positive;definitely recommend cabra tk50 v be look comfort clarity great price
positive;give television series ten plus
positive;highly recommend product
positive;highly recommend
negative;not recommend item anyone
negative;not recommend place
positive;recommend
positive;recommend purchase cabra x 10 series two work flawlessly moto q go figure
positive;recommend
negative;not recommend buy product
negative;not return
negative;not say be worth two hour of time though
negative;couldnt see movie free
